,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
3416,SOHO,12.63 %,17,$5,9,"176,714",11,"448,080",30,"2,112,041",4,"142,957",5,"338,867"
3417,SOLO,12.77 %,115,$46,33,"1,093,160",35,"1,773,350",88,"14,678,122",14,"362,443",13,"767,810"
3418,SOLOW,09/30/2021,-310,$998,09/30/2021,"54,582",New,$56,0%,$44,09/30/2021,"30,901",47.845%,$32
3419,SOLY,35.32 %,22,$160,49,"2,427,500",31,"2,315,234",93,"7,628,301",19,"888,756",20,"1,781,938"
3420,SONM,3.48 %,16,$1,11,"259,607",15,"1,138,179",27,"558,739",6,"179,869",12,"1,132,532"
3421,SONN,4.80 %,58,$2,10,"1,736,291",3,"1,845",21,"2,792,060",4,"179,413",2,"1,001"
3422,SONO,79.69 %,126,"$3,232",199,"19,101,389",158,"16,100,859",418,"100,225,701",65,"8,053,099",53,"5,167,953"
3423,SOPH,27.68 %,64,$253,29,"17,678,365",0,0,29,"17,678,365",29,"17,678,365",0,0
3424,SOTK,2.12 %,16,$2,10,"329,540",0,0,10,"329,540",10,"329,540",0,0
3425,SOVO,89.80 %,101,"$1,294",58,"90,599,883",0,0,58,"90,599,883",58,"90,599,883",0,0
3426,SPCB,2.44 %,20,$0,4,"80,507",7,"201,195",17,"488,170",3,"69,967",5,"93,548"
3427,SPFI,22.61 %,18,$107,24,"512,483",23,"678,895",62,"4,022,727",5,"107,377",3,"515,586"
3428,SPI,8.41 %,24,$11,11,"275,559",17,"230,460",33,"2,007,023",5,"95,675",11,"100,664"
3429,SPKAR,09/30/2021,"617,088",$247,09/30/2021,"606,610",New,$243,New,$204,09/30/2021,"350,000",New,$140
3430,SPKAU,28.84 %,5,$16,1,"1,845",13,"3,977,425",22,"1,527,595",1,"1,845",13,"3,977,425"
3431,SPKB,74.90 %,29,$212,21,"5,063,857",6,"140,772",57,"21,533,934",13,"2,291,277",0,0
3432,SPKBU,16.19 %,29,$47,4,"82,643",28,"4,868,774",45,"4,654,229",2,"36,100",19,"4,747,165"
3433,SPKBW,09/30/2021,"416,217",$621,09/30/2021,"375,000",0%,$394,0%,$334,09/30/2021,"299,999",0%,$315
3434,SPLK,88.93 %,162,"$17,944",360,"21,207,877",283,"17,014,361",755,"143,667,246",88,"7,218,328",64,"2,027,390"
3435,SPNE,87.25 %,36,$463,50,"7,289,912",43,"2,153,590",109,"31,794,273",10,"5,270,650",15,"851,788"
3436,SPNS,24.93 %,55,$493,51,"1,230,609",60,"1,435,804",124,"13,664,660",16,"434,787",22,"556,780"
3437,SPOK,60.46 %,19,$113,47,"3,094,634",66,"4,829,328",125,"11,778,394",23,"1,563,154",38,"930,441"
3438,SPPI,64.28 %,164,$185,67,"14,886,304",73,"13,333,546",175,"105,397,380",20,"721,868",25,"1,839,892"
3439,SPRB,91.68 %,23,$57,22,"1,124,754",20,"1,581,051",49,"21,432,449",7,"894,037",4,"1,049,331"
3440,SPRO,58.34 %,32,$298,29,"2,940,209",31,"664,371",92,"18,858,172",7,"1,637,331",6,"34,945"
3441,SPSC,100.33 %,36,"$5,196",150,"3,239,587",140,"2,450,910",340,"36,083,134",62,"342,122",24,"114,688"
3442,SPT,90.15 %,46,"$4,478",150,"4,998,437",127,"4,790,087",301,"41,081,806",53,"1,172,307",23,"255,447"
3443,SPTK,65.65 %,17,$110,30,"2,949,234",7,"530,631",64,"11,324,911",16,"1,407,908",1,"50,000"
3444,SPTKU,23.33 %,17,$40,6,"77,677",21,"2,484,077",44,"4,023,871",1,"37,449",12,"1,783,273"
3445,SPTKW,09/30/2021,"182,609",$415,09/30/2021,"277,500",New,$194,25.789%,$190,09/30/2021,"215,355",0%,$151
3446,SPTN,80.41 %,36,$731,83,"1,482,553",92,"1,744,285",208,"28,902,055",34,"765,326",15,"301,247"
3447,SPWH,98.50 %,44,$746,69,"6,623,522",64,"4,583,439",162,"43,214,127",23,"2,131,062",20,"1,707,599"
3448,SPWR,32.70 %,173,"$1,677",125,"8,151,171",100,"5,215,502",279,"56,569,084",31,"2,339,226",39,"2,260,728"
3449,SQL,0.70 %,12,$0,5,"82,710",0,0,5,"82,710",5,"82,710",0,0
3450,SQLLW,09/30/2021,"107,045",$110,09/30/2021,"70,000",New,$72,New,$52,09/30/2021,"20,000",New,$21
3451,SRAD,65.50 %,205,"$2,527",75,"134,569,823",0,0,75,"134,569,823",75,"134,569,823",0,0
3452,SRAX,17.28 %,26,$23,16,"500,407",14,"835,052",36,"4,518,608",4,"235,814",4,"354,482"
3453,SRCE,74.30 %,25,$933,56,"274,499",62,"569,662",145,"18,424,598",15,"101,594",9,"25,284"
3454,SRCL,99.15 %,92,"$5,518",120,"7,905,818",179,"5,965,448",378,"91,079,579",23,"2,056,993",41,"705,145"
3455,SRDX,90.36 %,14,$599,56,"492,495",75,"410,654",162,"12,534,550",18,"227,568",10,"57,145"
3456,SREV,64.60 %,99,$69,11,"1,240,613",36,"3,121,473",68,"63,995,058",2,"22,381",16,"693,060"
3457,SRGA,32.37 %,139,$38,40,"7,890,469",50,"21,109,432",111,"45,061,080",21,"2,684,200",21,"9,576,287"
3458,SRNE,28.00 %,306,$509,97,"11,097,410",73,"3,171,896",237,"85,773,566",29,"628,130",18,"964,094"
3459,SRPT,75.37 %,87,"$5,206",163,"7,555,106",164,"6,854,536",374,"65,630,742",48,"2,458,376",62,"1,558,912"
3460,SRRA,70.69 %,15,$245,20,"1,786,347",10,"177,189",40,"10,642,102",7,"313,683",3,"79,786"
3461,SRRK,83.15 %,35,$833,43,"2,247,673",47,"1,712,316",114,"29,192,479",12,"155,424",15,"505,080"
3462,SRSA,60.62 %,20,$120,12,"1,129,732",6,"336,508",45,"12,123,415",4,"527,981",4,"335,573"
3463,SRSAU,33.39 %,18,$59,2,"4,283",7,"712,950",21,"5,843,338",0,0,4,"677,992"
3464,SRSAW,09/30/2021,0,$580,09/30/2021,"368,860",0%,$535,0%,$515,09/30/2021,"233,333",0%,$338
3465,SRTS,7.88 %,17,$8,10,"43,552",3,"36,971",23,"1,309,644",2,"22,148",3,"36,971"
3466,SRZN,61.44 %,35,$196,27,"21,068,689",35,"3,675,276",62,"21,520,312",25,"20,718,689",33,"3,599,904"
3467,SRZNW,09/30/2021,"833,333","$1,917",09/30/2021,"466,666",New,"$1,073",New,$920,09/30/2021,"333,333",New,$767
3468,SSAA,63.69 %,31,$193,22,"1,963,432",6,"309,069",74,"19,777,198",7,"593,046",1,"150,000"
3469,SSAAU,25.92 %,31,$80,10,"94,064",20,"2,355,175",51,"8,046,623",4,"59,900",6,"1,712,384"
3470,SSAAW,09/30/2021,"186,300",$299,09/30/2021,"326,700",0%,$252,0%,$232,09/30/2021,"272,202",0%,$210
3471,SSB,83.21 %,70,"$4,793",154,"5,761,689",99,"5,025,947",324,"58,097,561",40,"902,367",29,"1,598,069"
3472,SSBI,13.05 %,7,$13,1,"1,100",11,"62,314",20,"871,342",1,"1,100",4,"42,531"
3473,SSBK,36.76 %,9,$65,16,"3,313,477",0,0,16,"3,313,477",16,"3,313,477",0,0
3474,SSKN,29.20 %,34,$15,8,"537,576",5,"52,193",22,"10,033,552",3,"505,640",1,775
3475,SSNC,82.57 %,254,"$16,694",251,"15,230,693",210,"17,114,870",536,"209,939,498",54,"4,015,438",32,"894,720"
3476,SSNT,15.84 %,5,$4,11,"135,334",7,"61,951",26,"813,552",3,"20,942",3,"49,243"
3477,SSP,75.57 %,71,"$1,117",75,"2,760,020",82,"3,838,588",190,"53,348,505",23,"627,389",25,"1,683,470"
3478,SSRM,51.80 %,212,"$2,039",72,"6,836,579",87,"8,937,377",186,"109,715,039",16,"714,288",32,"2,662,252"
3479,SSSS,27.40 %,29,$100,56,"882,755",28,"1,091,909",86,"7,884,975",13,"76,909",9,"102,620"
3480,SSTI,60.75 %,12,$249,41,"301,765",32,"399,892",90,"7,093,122",10,"116,218",9,"79,034"
3481,SSYS,69.71 %,65,"$1,262",83,"4,847,152",75,"5,807,102",193,"45,636,750",27,"1,939,036",20,"428,967"
3482,STAA,88.96 %,48,"$4,382",158,"2,234,663",147,"2,168,793",327,"42,345,304",45,"573,235",36,"421,416"
3483,STAB,3.80 %,32,$4,15,"494,545",10,"63,009",29,"1,219,052",8,"98,069",5,"17,408"
3484,STAF,1.56 %,17,$0,5,"71,698",7,"879,820",12,"269,309",1,"10,000",3,"865,749"
3485,STBA,60.55 %,39,$777,66,"792,255",64,"1,108,533",168,"23,827,515",17,"226,645",18,"139,510"
3486,STCN,47.77 %,60,$48,13,"239,897",13,"356,022",40,"28,868,525",3,"82,254",3,"33,373"
3487,STEP,72.45 %,56,"$1,738",75,"4,172,615",43,"3,717,798",127,"40,382,530",24,"539,778",13,"1,217,308"
3488,STER,83.05 %,96,"$1,871",69,"79,569,072",0,0,69,"79,569,072",69,"79,569,072",0,0
3489,STFC,35.64 %,45,$820,84,"7,915,899",42,"7,072,437",142,"15,864,808",61,"7,390,219",12,"576,277"
3490,STGW,45.47 %,113,$401,35,"9,089,042",44,"7,093,094",87,"51,469,814",11,"792,098",19,"1,826,698"
3491,STIM,80.06 %,26,$89,64,"4,606,766",43,"6,609,834",120,"21,110,197",17,"456,529",22,"4,456,413"
3492,STKL,71.19 %,107,$499,69,"8,306,589",83,"6,133,463",175,"76,413,291",14,"610,815",32,"2,118,692"
3493,STKS,32.58 %,32,$143,44,"1,100,687",24,"342,981",74,"10,459,452",14,"551,091",8,"120,686"
3494,STLD,81.28 %,198,"$10,886",253,"10,348,088",261,"15,424,399",590,"161,300,639",81,"2,211,302",49,"1,338,929"
3495,STNE,74.79 %,263,"$3,447",167,"57,790,756",182,"56,953,713",389,"196,611,347",45,"5,270,560",95,"21,026,515"
3496,STOK,99.11 %,37,"$1,033",33,"896,516",46,"1,803,066",104,"36,462,265",7,"252,467",16,"1,035,375"
3497,STRA,97.90 %,25,"$1,422",109,"2,420,233",89,"1,634,787",214,"24,083,261",30,"469,457",38,"411,255"
3498,STRC,7.80 %,143,$73,15,"8,464,884",78,"21,610,098",95,"11,141,785",14,"8,464,794",68,"18,289,418"
3499,STRCW,09/30/2021,"1,626,068","$2,568",09/30/2021,"977,084",13.913%,$956,0%,$531,09/30/2021,"500,000",3.815%,$489
3500,STRL,82.49 %,29,$682,73,"1,733,035",73,"1,663,179",181,"23,752,900",23,"621,676",21,"323,574"
3501,STRM,36.46 %,48,$27,10,"345,998",12,"1,341,622",39,"17,402,501",2,"100,615",6,"298,615"
3502,STRO,86.02 %,46,$668,55,"2,824,002",50,"4,226,257",132,"39,804,064",10,"177,257",14,"1,847,059"
3503,STRR,9.46 %,5,$1,8,"171,885",9,"194,755",20,"484,209",4,"37,605",6,"118,523"
3504,STRS,46.01 %,8,$132,13,"85,714",21,"161,778",44,"3,790,357",2,"7,021",8,"63,520"
3505,STRT,69.90 %,4,$115,14,"109,668",19,"109,925",44,"2,763,730",2,"28,250",3,"17,199"
3506,STSA,73.57 %,32,$123,19,"745,362",36,"1,270,896",63,"23,195,707",4,"168,862",19,"437,514"
3507,STTK,60.90 %,42,$244,37,"1,958,322",27,"2,123,720",79,"25,728,034",12,"624,675",11,"1,296,341"
3508,STX,84.14 %,223,"$19,028",351,"11,107,159",283,"11,500,151",758,"187,319,337",91,"4,702,946",66,"644,329"
3509,STXB,39.52 %,17,$198,43,"518,022",26,"429,923",87,"6,822,259",11,"112,636",7,"349,156"
3510,SUMO,69.42 %,110,"$1,061",81,"12,452,675",62,"10,932,237",165,"76,621,837",31,"1,990,070",31,"1,543,086"
3511,SUMR,40.86 %,2,$10,3,"14,929",6,"70,618",11,"884,584",1,"14,286",1,"1,059"
3512,SUNS,13.86 %,16,$34,20,"165,742",15,"154,040",41,"2,224,701",3,"90,707",4,"52,262"
3513,SUNW,30.03 %,29,$44,27,"1,617,501",16,"2,108,706",54,"8,733,585",16,"988,253",9,"600,682"
3514,SUPN,103.33 %,53,"$1,761",110,"4,262,809",113,"4,179,177",257,"54,949,333",33,"1,391,064",32,"369,449"
3515,SURF,58.76 %,46,$156,55,"6,389,960",43,"1,844,867",118,"27,110,678",23,"4,773,210",22,"628,484"
3516,SURG,0.02 %,12,$0,1,"2,000",0,0,1,"2,000",1,"2,000",0,0
3517,SV,65.37 %,23,$150,27,"2,768,404",31,"5,652,161",73,"15,035,008",15,"1,276,656",20,"5,039,707"
3518,SVC,78.72 %,165,"$1,276",104,"6,650,905",123,"16,864,491",284,"129,964,787",25,"582,456",29,"2,082,175"
3519,SVFA,48.39 %,60,$297,44,"11,028,015",20,"912,115",100,"29,215,397",17,"4,035,165",8,"303,789"
3520,SVFAU,12.45 %,60,$78,14,"869,022",16,"2,135,948",46,"7,518,756",5,"569,169",7,"1,960,914"
3521,SVFAW,09/30/2021,"201,366",$296,09/30/2021,"200,000",0%,$294,0%,$294,09/30/2021,"175,000",New,$257
3522,SVFB,69.31 %,24,$164,26,"4,568,308",9,"1,047,778",77,"16,468,777",7,"1,351,813",4,"929,202"
3523,SVFC,69.23 %,33,$228,28,"4,539,778",10,"1,255,923",85,"22,873,997",9,"1,745,981",3,"505,558"
3524,SVFD,14.49 %,3,$3,4,"20,727",1,115,9,"404,338",1,654,0,0
3525,SVOK,95.89 %,26,$247,34,"4,627,366",19,"2,918,773",88,"24,811,189",8,"1,722,380",8,"1,824,184"
3526,SVOKU,1.38 %,26,$4,4,"36,719",12,"2,672,100",19,"358,137",2,"28,157",6,"2,278,498"
3527,SVOKW,09/30/2021,0,$883,09/30/2021,"595,869",-16.366%,$638,New,$535,09/30/2021,"444,103",New,$475
3528,SVRA,66.10 %,114,$88,17,"3,511,374",42,"4,217,718",77,"75,262,190",5,"590,571",19,"1,835,205"
3529,SVSVU,0.50 %,23,$1,3,"19,045",8,"325,971",12,"114,389",0,0,6,"324,370"
3530,SVSVW,09/30/2021,0,$641,09/30/2021,"492,173",0%,$318,0%,$275,09/30/2021,"300,147",-50.613%,$194
3531,SVVC,6.46 %,7,$2,8,"92,278",3,"4,426",24,"445,459",3,"87,279",1,"4,202"
3532,SWAG,42.81 %,23,$97,27,"9,763,073",0,0,27,"9,763,073",27,"9,763,073",0,0
3533,SWAGU,45.75 %,23,$106,45,"10,435,101",0,0,45,"10,435,101",45,"10,435,101",0,0
3534,SWAGW,09/30/2021,"598,298",$369,09/30/2021,"400,000",New,$246,New,$243,09/30/2021,"250,000",New,$154
3535,SWAV,91.22 %,35,"$6,110",146,"2,030,880",104,"1,891,437",288,"32,204,387",53,"304,318",23,"135,906"
3536,SWBI,58.73 %,48,$638,111,"4,011,708",114,"6,235,202",274,"28,222,855",31,"1,066,491",40,"1,156,120"
3537,SWET,71.53 %,28,$193,32,"2,719,693",8,"148,674",74,"19,741,191",14,"1,956,382",4,"135,468"
3538,SWETU,20.82 %,28,$58,7,"243,377",21,"2,504,633",41,"5,746,851",4,"238,955",14,"1,934,187"
3539,SWETW,09/30/2021,0,$463,09/30/2021,"636,088",New,$406,0%,$383,09/30/2021,"442,901",4.411%,$283
3540,SWIM,21.58 %,120,$595,45,"5,985,764",43,"8,873,195",96,"25,860,443",11,"877,964",28,"7,898,175"
3541,SWIR,57.75 %,38,$389,54,"3,351,485",49,"2,173,116",130,"21,744,912",22,"728,623",19,"1,024,780"
3542,SWKH,90.50 %,13,$210,20,"314,261",14,"279,088",39,"11,592,224",10,"85,326",6,"60,795"
3543,SWKS,74.54 %,165,"$19,301",506,"6,168,541",441,"7,683,915","1,110","123,094,090",106,"1,193,300",98,"1,035,941"
3544,SWSS,14.84 %,16,$23,8,"2,322,409",0,0,8,"2,322,409",8,"2,322,409",0,0
3545,SWSSU,83.85 %,16,$131,29,"13,117,689",0,0,29,"13,117,689",29,"13,117,689",0,0
3546,SWTX,92.86 %,49,"$3,166",79,"4,463,777",48,"3,296,079",153,"45,732,739",19,"1,084,393",11,"44,074"
3547,SXTC,1.25 %,16,$0,5,"58,994",3,"30,547",9,"193,665",4,"53,005",1,625
3548,SY,26.85 %,70,$82,28,"1,614,819",21,"2,079,107",57,"18,921,704",17,"1,013,859",4,"268,452"
3549,SYBT,50.88 %,27,$883,71,"1,081,154",63,"478,986",166,"13,527,077",14,"463,496",29,"286,871"
3550,SYBX,66.91 %,70,$112,33,"19,474,382",24,"2,284,410",75,"46,642,519",15,"12,432,215",4,"34,947"
3551,SYNA,92.22 %,39,"$9,886",125,"3,232,483",176,"3,416,478",356,"36,214,924",50,"414,832",37,"820,613"
3552,SYNH,95.88 %,104,"$9,964",206,"5,813,840",144,"7,712,048",395,"99,422,334",54,"834,121",36,"2,349,502"
3553,SYNL,19.10 %,9,$26,10,"43,379",9,"38,909",31,"1,790,410",3,"9,927",2,"7,218"
3554,SYPR,8.35 %,22,$5,9,"89,821",11,"43,047",25,"1,825,481",4,"46,353",5,"27,708"
3555,SYRS,81.02 %,62,$203,44,"2,828,191",49,"3,519,565",115,"50,187,974",16,"387,138",15,"1,717,009"
3556,SYTA,13.70 %,5,$3,2,"36,733",1,37,5,"688,857",2,"36,733",0,0
3557,SYTAW,09/30/2021,"435,881",$371,09/30/2021,"150,000",0%,$128,-0.231%,$46,09/30/2021,"1,647",83.817%,$1
3558,TA,60.65 %,15,$506,67,"1,364,480",32,"631,706",120,"8,842,382",38,"958,356",5,"65,516"
3559,TACO,68.41 %,36,$202,44,"1,019,504",56,"2,503,990",121,"24,897,469",17,"740,733",15,"325,935"
3560,TACT,48.03 %,10,$54,17,"772,923",16,"550,301",45,"4,723,731",5,"610,005",3,"131,023"
3561,TAIT,17.69 %,5,$4,3,"17,384",8,"80,978",18,"902,822",1,"16,500",4,"46,960"
3562,TALK,46.64 %,152,$154,44,"21,521,582",40,"16,765,202",93,"71,035,472",33,"14,566,028",27,"9,566,410"
3563,TALKW,09/30/2021,"-1,436,926",$488,09/30/2021,"1,250,000",0%,$474,0%,$406,09/30/2021,"779,728",55.946%,$296
3564,TALS,62.56 %,41,$316,21,"332,805",20,"439,462",55,"25,871,219",5,"105,492",7,"142,776"
3565,TANH,1.80 %,43,$1,6,"238,339",6,"618,736",13,"773,185",2,"130,336",4,"99,540"
3566,TANNI,0.00 %,4,$0,0,0,1,"2,640",1,0,0,0,1,"2,640"
3567,TANNL,0.17 %,5,$0,0,0,0,0,1,"8,000",0,0,0,0
3568,TAOP,0.58 %,15,$0,5,"27,969",3,"23,389",8,"85,754",4,"24,969",1,905
3569,TARA,56.18 %,11,$45,16,"463,799",22,"1,263,818",46,"6,312,061",5,"159,184",11,"1,089,327"
3570,TARS,62.24 %,21,$350,15,"335,785",22,"528,010",48,"12,869,507",5,"270,528",6,"363,666"
3571,TASK,254.28 %,27,"$3,010",66,"55,002,128",45,"5,620,132",117,"69,310,478",46,"4,180,353",29,"3,792,434"
3572,TAST,39.68 %,51,$61,34,"2,090,400",55,"4,206,408",107,"20,347,113",16,"878,175",24,"1,626,821"
3573,TATT,4.65 %,9,$3,3,329,6,"59,080",12,"412,368",1,106,3,"51,132"
3574,TAYD,17.33 %,3,$7,3,"38,572",5,"6,493",18,"606,089",0,0,2,495
3575,TBBK,90.47 %,57,"$1,598",71,"2,677,079",75,"3,090,949",174,"51,548,981",17,"422,547",13,"352,549"
3576,TBCP,68.11 %,42,$284,28,"5,457,778",10,"621,492",83,"28,879,102",12,"3,316,330",3,"249,347"
3577,TBCPU,09/30/2021,"-83,647","$26,373",09/30/2021,"2,211,300",0%,"$22,091",0%,"$6,993",09/30/2021,"541,742",0.006%,"$5,412"
3578,TBCPW,09/30/2021,0,$543,09/30/2021,"249,900",56.383%,$240,68.312%,$211,09/30/2021,"200,000",0%,$192
3579,TBK,83.75 %,25,"$2,777",78,"2,442,376",89,"1,394,123",197,"21,040,477",24,"481,632",28,"281,349"
3580,TBLA,22.22 %,232,$430,43,"25,942,912",22,"7,169,875",76,"51,468,006",30,"6,592,244",12,"4,506,794"
3581,TBLAW,09/30/2021,0,"$1,262",09/30/2021,"602,360",New,"$1,090",0%,$181,09/30/2021,"85,000",0%,$154
3582,TBLD,1.92 %,32,$12,7,"617,304",0,0,7,"617,304",7,"617,304",0,0
3583,TBLT,6.17 %,129,$3,20,"1,567,002",8,"150,442",31,"7,973,993",4,"214,214",7,"147,942"
3584,TBLTW,09/30/2021,0,$18,09/30/2021,"75,000",New,$13,0%,$4,09/30/2021,"15,561",New,$3
3585,TBNK,44.98 %,9,$110,16,"320,493",42,"411,174",70,"4,194,412",4,"137,988",10,"107,463"
3586,TBPH,83.13 %,74,$518,76,"23,630,751",45,"23,683,611",141,"61,264,863",33,"13,503,024",24,"5,010,284"
3587,TBSA,61.22 %,20,$119,22,"4,435,823",2,"84,241",40,"12,243,665",17,"3,102,612",1,"34,643"
3588,TBSAW,09/30/2021,"50,000",$269,09/30/2021,"300,000",New,$231,0%,$128,09/30/2021,"133,333",0%,$103
3589,TC,0.03 %,267,$0,3,"25,988",2,"26,022",5,"73,286",3,"25,988",1,"18,022"
3590,TCAC,75.51 %,20,$149,25,"4,553,617",11,"366,203",60,"15,101,949",9,"3,814,851",3,"231,205"
3591,TCACU,15.38 %,20,$32,3,"13,218",18,"4,326,691",36,"3,075,942",1,"12,300",11,"4,062,659"
3592,TCACW,09/30/2021,"225,336",$938,09/30/2021,"610,238",New,$458,0%,$390,09/30/2021,"425,730",New,$319
3593,TCBC,10.61 %,5,$7,11,"519,817",0,0,11,"519,817",11,"519,817",0,0
3594,TCBI,98.61 %,51,"$3,029",109,"5,525,765",120,"3,976,472",269,"49,903,273",25,"1,484,547",24,"878,964"
3595,TCBK,65.63 %,30,$895,64,"871,874",64,"1,333,919",161,"19,502,878",15,"501,351",20,"897,679"
3596,TCBS,2.80 %,3,$1,7,"83,965",0,0,7,"83,965",7,"83,965",0,0
3597,TCDA,56.30 %,55,$231,22,"2,981,297",54,"5,986,685",98,"31,026,586",7,"1,895,604",22,"2,803,783"
3598,TCFC,37.73 %,6,$85,19,"192,540",25,"214,586",58,"2,160,354",8,"131,074",8,"45,963"
3599,TCMD,102.17 %,20,$444,61,"785,998",68,"781,321",159,"20,253,929",12,"128,991",18,"355,851"
3600,TCOM,66.06 %,637,"$12,331",156,"67,714,568",206,"71,959,398",403,"421,125,367",26,"10,886,490",74,"19,691,568"
3601,TCON,52.53 %,19,$27,19,"1,705,009",17,"505,677",52,"10,215,727",8,"1,222,250",6,"124,167"
3602,TCPC,25.46 %,58,$201,49,"912,453",37,"1,762,022",110,"14,705,601",12,"578,566",9,"122,370"
3603,TCRR,83.07 %,38,$177,58,"4,173,366",54,"7,441,773",135,"31,748,346",18,"1,973,568",20,"2,085,929"
3604,TCRX,48.31 %,19,$76,25,"8,997,900",0,0,25,"8,997,900",25,"8,997,900",0,0
3605,TCVA,84.46 %,41,$347,14,"1,067,188",18,"1,142,935",80,"34,714,371",8,"776,252",9,"773,373"
3606,TCX,63.62 %,11,$587,39,"419,227",33,"155,805",89,"6,806,657",6,"76,043",11,"90,546"
3607,TDUP,75.96 %,52,$716,53,"14,439,836",24,"1,279,874",86,"39,684,658",23,"7,158,951",12,"444,910"
3608,TEAM,84.35 %,140,"$46,138",378,"10,640,503",273,"11,431,035",753,"118,450,450",131,"5,241,905",61,"1,723,211"
3609,TECH,94.60 %,39,"$17,572",287,"3,253,582",212,"3,066,642",593,"37,171,930",89,"567,420",34,"67,240"
3610,TEDU,8.05 %,49,$3,8,"106,947",13,"1,177,034",27,"3,938,249",6,"52,611",10,"1,134,844"
3611,TEKK,72.61 %,25,$179,18,"1,584,499",9,"579,101",58,"18,152,640",7,"1,043,550",6,"266,529"
3612,TEKKU,7.70 %,25,$20,5,"62,177",8,"1,306,991",16,"1,924,732",0,0,5,"1,255,180"
3613,TEKKW,09/30/2021,0,$498,09/30/2021,"500,000",0%,$440,0%,$328,09/30/2021,"261,850",New,$230
3614,TELA,70.60 %,15,$128,16,"422,536",24,"422,601",46,"10,239,166",1,325,9,"122,791"
3615,TENB,83.27 %,107,"$4,542",125,"11,760,492",110,"11,418,438",265,"89,470,619",32,"2,318,944",33,"1,636,255"
3616,TENX,30.60 %,25,$10,6,"4,439,284",10,"232,818",30,"7,711,976",5,"4,432,562",4,"102,008"
3617,TER,98.14 %,163,"$23,851",319,"14,717,653",328,"14,322,301",758,"159,968,794",55,"4,600,085",85,"1,344,423"
3618,TERN,66.55 %,25,$125,20,"460,740",12,"356,930",39,"16,725,087",3,"10,415",5,"55,310"
3619,TESS,34.48 %,9,$17,9,"215,183",16,"461,017",33,"3,091,841",2,"95,415",7,"106,961"
3620,TETC,67.99 %,38,$256,25,"4,440,569",6,"62,379",57,"26,175,719",15,"1,641,916",3,"55,004"
3621,TETCU,22.11 %,38,$85,12,"574,571",21,"4,751,073",50,"8,512,643",7,"323,903",15,"3,295,702"
3622,TETCW,09/30/2021,0,$608,09/30/2021,"700,000",0%,$567,0%,$540,09/30/2021,"560,227",52.789%,$454
3623,TFFP,23.02 %,25,$43,26,"1,681,160",33,"1,511,623",69,"5,841,307",9,"1,201,692",16,"714,008"
3624,TFSL,9.06 %,281,$496,54,"620,561",55,"2,051,442",138,"25,426,736",16,"289,155",11,"139,246"
3625,TGA,19.65 %,73,$41,11,"457,557",14,"358,338",36,"14,251,150",5,"175,141",4,"113,092"
3626,TGLS,18.66 %,48,$297,43,"886,541",36,"1,034,432",89,"8,895,787",24,"511,092",11,"295,306"
3627,TGTX,69.62 %,143,"$2,439",113,"11,611,215",122,"8,991,558",269,"99,510,575",33,"3,034,179",44,"2,426,524"
3628,TH,19.96 %,102,$81,29,"1,606,910",32,"797,749",71,"20,321,690",5,"171,996",6,"309,550"
3629,THCA,64.19 %,19,$127,14,"1,758,081",21,"2,061,753",47,"12,471,507",3,"304,624",11,"1,520,589"
3630,THCAW,09/30/2021,0,$780,09/30/2021,"562,500",0%,$366,0%,$309,09/30/2021,"371,460",0%,$241
3631,THCP,45.67 %,24,$108,25,"11,099,074",0,0,25,"11,099,074",25,"11,099,074",0,0
3632,THCPU,43.29 %,24,$104,20,"1,651,235",34,"12,691,191",68,"10,519,810",11,"598,359",25,"11,922,648"
3633,THCPW,09/30/2021,"450,000",$414,09/30/2021,"258,280",New,$238,New,$120,09/30/2021,"100,000",New,$92
3634,THFF,65.36 %,13,$379,52,"408,089",61,"464,652",143,"8,412,893",10,"65,767",15,"113,557"
3635,THMA,94.68 %,28,$261,35,"6,588,906",17,"1,517,740",94,"26,132,967",22,"4,653,526",8,"1,120,768"
3636,THMAU,6.58 %,28,$19,2,"14,410",26,"5,024,954",40,"1,815,535",2,"14,410",17,"4,049,192"
3637,THMAW,09/30/2021,"83,846",$688,09/30/2021,"400,000",0%,$480,2.667%,$462,09/30/2021,"333,333",New,$400
3638,THMO,3.67 %,12,$1,7,"36,234",7,"66,433",21,"437,667",3,"14,217",5,"66,406"
3639,THRM,98.18 %,33,"$2,908",111,"1,977,648",108,"1,869,023",256,"32,623,624",38,"584,792",18,"188,756"
3640,THRN,11.81 %,53,$52,40,"6,205,193",0,0,40,"6,205,193",40,"6,205,193",0,0
3641,THRY,86.23 %,34,"$1,075",50,"4,961,671",29,"4,616,544",86,"29,290,373",14,"811,787",6,"131,963"
3642,THTX,19.92 %,95,$64,13,"3,080,775",14,"2,402,408",42,"18,952,211",5,"96,538",2,"22,130"
3643,THWWW,09/30/2021,0,"$1,533",09/30/2021,"644,741",-2.125%,$235,0%,$133,09/30/2021,"333,333",0%,$122
3644,TIG,32.88 %,51,$168,27,"3,467,949",38,"4,162,326",69,"16,827,811",11,"664,051",15,"3,175,199"
3645,TIGO,4.14 %,102,$144,18,"154,272",34,"949,699",60,"4,202,300",6,"47,079",13,"138,366"
