,tick,position,error
234,FOXWW,1610,'NoneType' object is not subscriptable
235,FREEW,1618,'NoneType' object is not subscriptable
236,FRGAP,1621,'NoneType' object is not subscriptable
237,FRLAW,1626,'NoneType' object is not subscriptable
238,FRMEP,1629,'NoneType' object is not subscriptable
239,FRONW,1633,'NoneType' object is not subscriptable
240,FRSGW,1638,'NoneType' object is not subscriptable
241,FRWAW,1643,'NoneType' object is not subscriptable
242,FSRXW,1652,'NoneType' object is not subscriptable
243,FSSIW,1655,'NoneType' object is not subscriptable
244,FTAIO,1662,'NoneType' object is not subscriptable
245,FTCVW,1667,'NoneType' object is not subscriptable
246,FTIIW,1674,'NoneType' object is not subscriptable
247,FTPAW,1678,'NoneType' object is not subscriptable
248,FTVIW,1680,'NoneType' object is not subscriptable
249,FULTP,1683,'NoneType' object is not subscriptable
250,FXCOW,1699,'NoneType' object is not subscriptable
251,GACQW,1705,'NoneType' object is not subscriptable
252,GAINN,1708,'NoneType' object is not subscriptable
253,GAINZ,1709,'NoneType' object is not subscriptable
254,GAMCW,1714,'NoneType' object is not subscriptable
255,GATEW,1721,'NoneType' object is not subscriptable
256,GBBKR,1723,'NoneType' object is not subscriptable
257,GBRGR,1729,'NoneType' object is not subscriptable
258,GBRGW,1730,'NoneType' object is not subscriptable
259,GDNRW,1738,'NoneType' object is not subscriptable
260,GDSTW,1742,'NoneType' object is not subscriptable
261,GECCM,1745,'NoneType' object is not subscriptable
262,GECCN,1746,'NoneType' object is not subscriptable
263,GECCO,1747,'NoneType' object is not subscriptable
264,GEEXW,1750,'NoneType' object is not subscriptable
265,GEGGL,1752,'NoneType' object is not subscriptable
266,GENQW,1757,'NoneType' object is not subscriptable
267,GET,1760,'NoneType' object is not subscriptable
268,GFGDR,1764,'NoneType' object is not subscriptable
269,GGAAW,1767,'NoneType' object is not subscriptable
270,GGMCW,1771,'NoneType' object is not subscriptable
271,GGROW,1773,'NoneType' object is not subscriptable
272,GHACW,1777,'NoneType' object is not subscriptable
273,GIIXW,1788,'NoneType' object is not subscriptable
274,GIPRW,1792,'NoneType' object is not subscriptable
275,GLBLW,1798,'NoneType' object is not subscriptable
276,GLHAW,1804,'NoneType' object is not subscriptable
277,GLLIW,1807,'NoneType' object is not subscriptable
278,GLST,1814,'NoneType' object is not subscriptable
279,GLSTR,1815,'NoneType' object is not subscriptable
280,GLSTW,1817,'NoneType' object is not subscriptable
281,GMBLW,1824,'NoneType' object is not subscriptable
282,GMBLZ,1825,'NoneType' object is not subscriptable
283,GMFIW,1829,'NoneType' object is not subscriptable
284,GMVDW,1833,'NoneType' object is not subscriptable
285,GNACW,1835,'NoneType' object is not subscriptable
286,GOEVW,1847,'NoneType' object is not subscriptable
287,GOODN,1851,'NoneType' object is not subscriptable
288,GOODO,1852,'NoneType' object is not subscriptable
289,GOVXW,1857,'NoneType' object is not subscriptable
290,GRABW,1865,'NoneType' object is not subscriptable
291,GREEL,1871,'NoneType' object is not subscriptable
292,GROMW,1878,'NoneType' object is not subscriptable
293,GSDWW,1890,'NoneType' object is not subscriptable
294,GSEVW,1892,'NoneType' object is not subscriptable
295,GSMGW,1897,'NoneType' object is not subscriptable
296,GSRMR,1899,'NoneType' object is not subscriptable
297,GSRMW,1901,'NoneType' object is not subscriptable
298,GTACW,1904,'NoneType' object is not subscriptable
299,GTPAW,1913,'NoneType' object is not subscriptable
300,GTPBW,1916,'NoneType' object is not subscriptable
301,GWIIW,1924,'NoneType' object is not subscriptable
302,GXIIW,1928,'NoneType' object is not subscriptable
303,HAIAW,1934,'NoneType' object is not subscriptable
304,HCARW,1951,'NoneType' object is not subscriptable
305,HCDIW,1956,'NoneType' object is not subscriptable
306,HCDIZ,1957,'NoneType' object is not subscriptable
307,HCICW,1960,'NoneType' object is not subscriptable
308,HCIIW,1962,'NoneType' object is not subscriptable
309,HCMAW,1966,'NoneType' object is not subscriptable
310,HCVIW,1974,'NoneType' object is not subscriptable
311,HERAW,1983,'NoneType' object is not subscriptable
